"Date","Boat.name","Gear.Type","Fishing.Location","No..of.Days.fishing","No..of.Hauls","Average.Haul.Time..Hours.","Depth..wav.","Fishing.Trip.Start","Fishing.Trip.End","Snakes.caught","Number","Remarks"
"08-01-2018","9c03b302","GillNet",,1,1,"NA",8,"05:00","07:30",,,
"09-01-2018","a04d4d47","Trawler",,"NA",3,2.5,20,,"17:00",,,
"09-01-2018","9c03b302","GillNet",,1,1,"NA",7,"05:00","08:00",,,
"09-01-2018","75dc4e8c","GillNet",,1,1,"NA",5,"04:00","08:00",,,
"10-01-2018","eb657d2f","Trawler",,"NA",3,2,30,"05:00","17:00",,,
"10-01-2018","eb657d2f","Trawler",,"NA",3,2,30,"05:00","17:00",,,
"11-01-2018","a04d4d47","Trawler",,"NA",3,2.5,20,"06:00","17:00",,,
"11-01-2018","a04d4d47","Trawler",,"NA",3,2.5,20,"06:00","17:00",,,
"12-01-2018","616edef8","GillNet",,1,1,"NA",8,"03:00","08:15",,,
"12-01-2018","439107ad","GillNet",,1,1,"NA",7,"05:00","08:00",,,
"12-01-2018","2f4ee7fa","GillNet",,1,1,"NA",4.5,"04:00","08:00",,,
"12-01-2018","2f4ee7fa","GillNet",,1,1,"NA",4.5,"04:00","08:00",,,
"16-01-2018","aea15348","GillNet",,1,1,"NA",2,"04:30","06:30",,,
"16-01-2018","ea364a9e","GillNet",,1,1,"NA","NA",,,,,
"16-01-2018","00f20ffe","GillNet",,1,1,"NA",4.5,"03:00","06:30",,,
"16-01-2018","a5f43c13","GillNet",,1,1,"NA",7.5,"04:00","08:15",,,
"17-01-2018","a04d4d47","Trawler",,"NA",3,2.5,11,"06:00","17:00",,,
"17-01-2018","aea15348","GillNet",,1,1,"NA",2,"04:30","06:30",,,
"17-01-2018","ddd9354a","GillNet",,1,1,"NA",9,"06:00","08:30",,,
"17-01-2018","00f20ffe","GillNet",,1,1,"NA",3,"03:00","07:00",,,
"17-01-2018","439107ad","GillNet",,1,1,"NA",5,"04:00","07:00",,,
"17-01-2018","bd47ddcb","GillNet",,1,1,"NA",4,"05:00","07:00",,,
"18-01-2018","3a493285","GillNet",,1,1,"NA",4,"03:00","06:30",,,
"18-01-2018","33d169d3","GillNet",,1,1,"NA",6,"04:00","08:00",,,
"18-01-2018","62d27227","GillNet",,1,1,"NA",5,"04:00","07:30",,,
"18-01-2018","90ab1b0e","GillNet",,1,1,"NA",6.5,"04:00","09:00",,,
"18-01-2018","6bf36d55","GillNet",,1,1,"NA",2,"18:00","21:00",,,
"18-01-2018","6bf36d55","GillNet",,1,1,"NA",2,"18:00","21:00",,,
"19-01-2018","de896a2d","GillNet",,1,1,"NA",4,"04:00","07:00",,,
"20-01-2018","b0b7e315","GillNet",,1,1,"NA",5.5,"03:00","07:00",,,
"20-01-2018","0c2b2a25","GillNet",,1,1,"NA",3,"04:00","06:30",,,
"20-01-2018","6bf36d55","GillNet",,1,1,"NA",7,"18:00","21:00",,,
"20-01-2018","f377d76f","GillNet",,1,1,"NA",3.5,"04:00","08:30",,,
"20-01-2018","2698b1b2","GillNet",,1,1,"NA",2.5,"03:30","07:00",,,
"20-01-2018","f377d76f","GillNet",,1,1,"NA",3.5,"04:00","07:00",,,
"20-01-2018","a7ecd847","GillNet",,1,1,"NA",4,"02:00","06:00",,,
"20-01-2018","50e410a5","GillNet",,1,1,"NA",4,"03:00","07:30",,,
"20-01-2018","de896a2d","GillNet",,1,1,"NA",4.5,"03:00","07:00",,,
"20-01-2018","de896a2d","GillNet",,1,1,"NA",4.5,"03:00","07:00",,,
"20-01-2018","53dc7269","GillNet",,1,1,"NA",3.5,"03:00","06:30",,,
"20-01-2018","feab3e7d","GillNet",,1,1,"NA",3,"03:30","06:00",,,
"20-01-2018","a5f43c13","GillNet",,1,1,"NA",7,"03:00","07:30",,,
"21-01-2018","c75c7e31","GillNet",,1,1,"NA",6,"04:00","07:00",,,
"21-01-2018","9d3ae2e6","GillNet",,1,1,"NA",10,"03:00","05:30",,,
"21-01-2018","2cc2068f","GillNet",,1,1,"NA",6,"04:00","07:30",,,
"21-01-2018","00f20ffe","GillNet",,1,1,"NA",5.5,"02:00","04:00",,,
"21-01-2018","eca33227","GillNet",,1,1,"NA",10,"05:00","07:00",,,
"21-01-2018","cf971186","GillNet",,1,1,"NA",2,"03:00","07:00",,,
"21-01-2018","0c2b2a25","GillNet",,1,1,"NA",10,"05:00","07:00",,,
"21-01-2018","1d4f8125","GillNet",,1,1,"NA",7,"04:00","07:00",,,
"21-01-2018","6d2d1679","GillNet",,1,1,"NA",7,"04:00","07:00",,,
"21-01-2018","5c88862f","GillNet",,1,1,"NA",6,"17:00","21:00",,,
"21-01-2018","eca33227","GillNet",,1,1,"NA",10,"02:00","04:00",,,
"21-01-2018","a5f43c13","GillNet",,1,1,"NA",8.5,"03:00","07:30",,,
"22-01-2018","9c03b302","GillNet",,1,1,"NA",4.5,"03:00","07:30",,,
"22-01-2018","0ae7679a","GillNet",,1,1,"NA",7,"03:00","07:00",,,
"22-01-2018","eca33227","GillNet",,1,1,"NA",4.5,"02:00","06:00",,,
"22-01-2018","631ac303","GillNet",,1,1,"NA",4,"03:30","05:30",,,
"22-01-2018","53dc7269","GillNet",,1,1,"NA",6,"03:00","07:00",,,
"23-01-2018","83bf3ccd","GillNet",,1,1,"NA",8,"02:00","06:00",,,
"23-01-2018","878f9bfd","GillNet",,1,1,"NA",7,"03:00","06:20",,,
"23-01-2018","bbd9d55f","GillNet",,1,1,"NA",2,"02:00","05:00",,,
"23-01-2018","c77c7d14","GillNet",,1,1,"NA",8,"04:00","07:00",,,
"23-01-2018","c77c7d14","GillNet",,1,1,"NA",8,"04:00","07:00",,,
"23-01-2018","0ec19791","GillNet",,1,1,"NA",4,"05:00","07:30",,,
"24-01-2018","d6152245","GillNet",,1,1,"NA",7,"01:00","05:00",,,
"24-01-2018","8c205b36","GillNet",,1,1,"NA",5,"01:00","06:00",,,
"24-01-2018","e1f93503","GillNet",,1,1,"NA",2,"02:00","07:00",,,
"25-01-2018","40cbfc16","GillNet",,1,1,"NA",2.5,"05:00","07:45",,,
"26-01-2018","fa4a81bd","GillNet",,1,1,"NA",2,"03:00","06:00",,,
"26-01-2018","b6d19876","GillNet",,1,1,"NA",5,"04:00","07:00",,,
"27-01-2018","ea364a9e","GillNet",,1,1,0.5,3,"04:00","07:30",,,
"27-01-2018","51b70650","GillNet",,1,1,0.33,10,"05:30","08:00",,,
"27-01-2018","434e782e","GillNet",,1,1,1,4,"03:00","06:00",,,
"27-01-2018","efeaa2fa","GillNet",,1,1,1,5,"03:00","07:00",,,
"27-01-2018","5cbe54c0","GillNet",,1,1,0.5,7.5,"04:00","07:30",,,
"27-01-2018","0b45535b","GillNet",,1,1,0.25,4.5,"02:00","05:00",,,
"27-01-2018","434e782e","GillNet",,1,1,1,4,"03:00","06:00",,,
"28-01-2018","a04d4d47","Trawler",,"NA",2,2.75,16,"06:00","17:00",,,
"28-01-2018","a04d4d47","Trawler",,"NA",2,2.75,16,"06:00","17:00",,,
"28-01-2018","a04d4d47","Trawler",,"NA",2,2.75,16,"06:00","17:00",,,
"28-01-2018","NA","GillNet",,1,1,"NA","NA",,,,,
"28-01-2018","NA","GillNet",,1,1,"NA","NA",,,,,
"28-01-2018","NA","GillNet",,1,1,"NA","NA",,,,,
"31-01-2018","fc6ac6c6","Rampan",,1,1,8,2.5,"22:00","06:00",,,
"02-02-2018","21e4068b","GillNet",,1,1,0.333333333,6,"00:30","06:30",,,
"02-02-2018","21e4068b","GillNet",,1,1,0.333333333,6,"00:30","06:30",,,
"02-02-2018","1e25c9a8","Rampan",,1,1,"NA",7,"19:00","07:00",,,
"02-02-2018","21e4068b","GillNet",,1,1,0.333333333,6,"00:30","06:30",,,
"02-02-2018","93a19c89","GillNet",,1,1,2,6.5,"03:00","08:30",,,
"02-02-2018","93a19c89","GillNet",,1,1,2,6.5,"03:00","08:30",,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","eb657d2f","Trawler",,"NA",4,3,24,,,,,
"03-02-2018","cf971186","GillNet",,1,1,1,4,"19:00","21:00",,,
"03-02-2018","21e4068b","GillNet",,1,1,0.166666667,5,"02:00","08:00",,,
"03-02-2018","35e689d4","GillNet",,1,1,0.5,7,"02:00","06:30",,,
"04-02-2018","aea15348","GillNet",,1,1,1.75,8,"02:00","06:30",,,
"04-02-2018","cf971186","GillNet",,1,1,0.5,5,"00:00","06:00",,,
"04-02-2018","cf971186","GillNet",,1,1,0.5,5,"00:00","06:00",,,
"04-02-2018","cf971186","GillNet",,1,1,0.5,5,"00:00","06:00",,,
"04-02-2018","818a0b48","GillNet",,1,1,0.5,7,"02:00","07:30",,,
"06-02-2018","eb657d2f","Trawler",,"NA",3,3,25,"06:00","17:00",,,
"06-02-2018","eb657d2f","Trawler",,"NA",3,3,25,"06:00","17:00",,,
"06-02-2018","eb657d2f","Trawler",,"NA",3,3,25,"06:00","17:00",,,
"06-02-2018","edc7c573","GillNet",,1,1,0.25,4,"03:00","06:00",,,
"06-02-2018","2f44f60e","GillNet",,1,1,"NA",2,"15:00","20:00",,,
"06-02-2018","2f44f60e","GillNet",,1,1,"NA",2,"15:00","20:00",,,
"07-02-2018","a04d4d47","Trawler",,"NA",3,2.75,9,"06:00","17:00",,,
"07-02-2018","a04d4d47","Trawler",,"NA",3,2.75,9,"06:00","17:00",,,
"07-02-2018","eb657d2f","Trawler",,"NA",4,2.5,20,"04:00","17:00",,,
"07-02-2018","eb657d2f","Trawler",,"NA",4,2.5,20,"04:00","17:00",,,
"07-02-2018","fc6ac6c6","Rampan",,1,1,14,3.5,"17:00","07:00",,,
"07-02-2018","7e585a4b","GillNet",,1,1,1,14,"14:00","18:00",,,
"07-02-2018","cf971186","GillNet",,1,1,1,7,"03:00","07:00",,,
"08-02-2018","f044fcbd","GillNet",,1,1,2,13,"16:00","21:00",,,
"08-02-2018","0215f05a","GillNet",,1,1,0.33,14,"05:00","09:00",,,
"08-02-2018","448fd852","GillNet",,1,1,"NA",11.5,"14:00","17:30",,,
"08-02-2018","448fd852","GillNet",,1,1,"NA",11.5,"14:00","17:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","cf971186","GillNet",,1,1,0.33,2,"03:00","06:30",,,
"09-02-2018","933b26e2","GillNet",,1,1,2.25,16,"04:00","08:00",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","eb657d2f","Trawler",,"NA",2,3.5,6,"05:00","13:30",,,
"09-02-2018","416cf1e9","GillNet",,1,1,1,15,"14:00","18:00",,,
"11-02-2018","3862daf1","GillNet",,1,1,0.75,14,"13:00","17:30",,,
"11-02-2018","90ab1b0e","GillNet",,1,1,0.33,14,"13:00","17:30",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"12-02-2018","eb657d2f","Trawler",,"NA",2,2.33,4,"06:00","16:00",,,
"17-02-2018","987b408f","GillNet",,1,1,2,5,"03:00","06:00",,,
"17-02-2018","2f44f60e","GillNet",,1,1,0.5,8,"04:00","07:30",,,
"17-02-2018","2f44f60e","GillNet",,1,1,0.5,8,"04:00","07:30",,,
"17-02-2018","de896a2d","GillNet",,1,1,2,14,"10:00","15:00",,,
"18-02-2018","ba6de2fd","GillNet",,1,1,"NA",13,"12:00","16:00",,,
"19-02-2018","90ab1b0e","GillNet",,1,1,0.5,14,"14:00","18:00",,,
"19-02-2018","90ab1b0e","GillNet",,1,1,0.5,14,"14:00","18:00",,,
"19-02-2018","106caced","GillNet",,1,1,1,15,"12:30","18:00",,,
"21-02-2018","7897f5c4","Rampan",,1,1,12,3.5,"18:30","06:30",,,
"21-02-2018","e2d4d7d9","GillNet",,1,1,1,13,"04:30","10:00",,,
"21-02-2018","ba6de2fd","GillNet",,1,1,1,14,"13:00","18:15",,,
"22-02-2018","33d169d3","GillNet",,1,1,0.75,13,"11:00","18:15",,,
"22-02-2018","6d2d1679","GillNet",,1,1,0.75,13,"13:00","17:30",,,
"22-02-2018","31b07d8a","GillNet",,1,1,0.75,12,"13:00","17:00",,,
"22-02-2018","0188d39a","GillNet",,1,1,1,12.5,"13:00","18:30",,,
"22-02-2018","b2e97d5e","GillNet",,1,1,1,14,"12:00","18:00",,,
"22-02-2018","b2e97d5e","GillNet",,1,1,1,14,"12:00","18:00",,,
"22-02-2018","NA","GillNet",,1,1,1,13.5,"13:00","18:00",,,
"22-02-2018","NA","GillNet",,1,1,1,13.5,"13:00","18:00",,,
"23-02-2018","a3d2afd1","GillNet",,1,1,2,13,"14:00","17:30",,,
"23-02-2018","93a19c89","GillNet",,1,1,0.5,14,"13:00","18:00",,,
"23-02-2018","18f56f1e","GillNet",,1,1,0.5,17,"13:00","18:45",,,
"24-02-2018","80817e24","GillNet",,1,1,1,13,"14:00","18:00",,,
"24-02-2018","80817e24","GillNet",,1,1,1,13,"14:00","18:00",,,
"24-02-2018","18f56f1e","GillNet",,1,1,0.75,8.5,"12:30","16:30",,,
"25-02-2018","ba6de2fd","GillNet",,1,1,0.5,12,"13:00","18:30",,,
"26-02-2018","9bedc7b1","GillNet",,1,1,0.5,12,"13:00","17:00",,,
"26-02-2018","7d50df84","GillNet",,1,1,1,3,"04:00","07:00",,,
"01-03-2018","dd660e95","GillNet",,1,1,0.75,8,"05:00","07:30",,,
"01-03-2018","dd660e95","GillNet",,1,1,0.75,8,"05:00","07:30",,,
"03-03-2018","987b408f","GillNet",,1,1,0.5,5,"04:00","07:00",,,
"03-03-2018","a5f43c13","GillNet",,1,1,3,13,"17:30","20:15",,,
"03-03-2018","9133cfcf","GillNet",,1,1,1,11,"05:00","10:00",,,
"05-03-2018","eb657d2f","Trawler","Tondavali","NA",3,2.5,6,"06:00","16:30",,,
"05-03-2018","eb657d2f","Trawler","Tondavali","NA",3,2.5,6,"06:00","16:30",,,
"05-03-2018","eb657d2f","Trawler","Tondavali","NA",3,2.5,6,"06:00","16:30",,,
"05-03-2018","eb657d2f","Trawler","Tondavali","NA",3,2.5,6,"06:00","16:30",,,
"05-03-2018","eb657d2f","Trawler","Tondavali","NA",3,2.5,6,"06:00","16:30",,,
"05-03-2018","eb657d2f","Trawler","Tondavali","NA",3,2.5,6,"06:00","16:30",,,
"05-03-2018","eb657d2f","Trawler","Tondavali","NA",3,2.5,6,"06:00","16:30",,,
"05-03-2018","eb657d2f","Trawler","Tondavali","NA",3,2.5,6,"06:00","16:30",,,
"05-03-2018","eb657d2f","Trawler","Tondavali","NA",3,2.5,6,"06:00","16:30",,,
"07-03-2018","eb657d2f","Trawler","Tondavali","NA",2,3,8,"06:00","13:00",,,
"07-03-2018","eb657d2f","Trawler","Tondavali","NA",2,3,8,"06:00","13:00",,,
"07-03-2018","eb657d2f","Trawler","Tondavali","NA",2,3,8,"06:00","13:00",,,
"07-03-2018","eb657d2f","Trawler","Tondavali","NA",2,3,8,"06:00","13:00",,,
"07-03-2018","eb657d2f","Trawler","Tondavali","NA",2,3,8,"06:00","13:00",,,
"07-03-2018","eb657d2f","Trawler","Tondavali","NA",2,3,8,"06:00","13:00",,,
"07-03-2018","eb657d2f","Trawler","Tondavali","NA",2,3,8,"06:00","13:00",,,
"07-03-2018","eb657d2f","Trawler","Tondavali","NA",2,3,8,"06:00","13:00",,,
"09-03-2018","270af5cd","GillNet","Wayari",1,1,1,10,"17:00","21:00",,,
"09-03-2018","603fde4f","GillNet","Tarkarli",1,1,2,6,"04:00","07:30",,,
"09-03-2018","603fde4f","GillNet","Tarkarli",1,1,2,6,"04:00","07:30",,,
"09-03-2018","603fde4f","GillNet","Tarkarli",1,1,2,6,"04:00","07:30",,,
"09-03-2018","603fde4f","GillNet","Tarkarli",1,1,2,6,"04:00","07:30",,,
"09-03-2018","603fde4f","GillNet","Tarkarli",1,1,2,6,"04:00","07:30",,,
"09-03-2018","c901ecc1","GillNet","Wayari",1,1,"NA","NA",,,,,
"09-03-2018","2dfd4785","GillNet","Wayari",1,1,2,10,"14:00","18:30",,,
"09-03-2018","6d2d1679","GillNet","Wayari",1,1,0.5,11,"13:00","18:00",,,
"09-03-2018","b582348b","GillNet","Wayari",1,1,0.75,11,"14:00","18:00",,,
"09-03-2018","33d169d3","GillNet","Wayari",1,1,0.33,8,"14:00","18:00",,,
"09-03-2018","dd660e95","GillNet","Aachara",1,1,1,9,"13:15","19:00",,,
"09-03-2018","dd660e95","GillNet","Aachara",1,1,1,9,"13:15","19:00",,,
"09-03-2018","dd660e95","GillNet","Aachara",1,1,1,9,"13:15","19:00",,,
"09-03-2018","dd660e95","GillNet","Aachara",1,1,1,9,"13:15","19:00",,,
"09-03-2018","dd660e95","GillNet","Aachara",1,1,1,9,"13:15","19:00",,,
"09-03-2018","dd660e95","GillNet","Aachara",1,1,1,9,"13:15","19:00",,,
"10-03-2018","d34b8f8c","GillNet",,1,1,"NA","NA",,,,,
"10-03-2018","a5f43c13","GillNet","Aachara",1,1,1,11,"04:30","09:30",,,
"10-03-2018","7d50df84","GillNet","Wayari",1,1,0.75,6,"18:00","20:30",,,
"10-03-2018","878f9bfd","GillNet","Wayari",1,1,1,5.5,"17:30","20:00",,,
"11-03-2018","NA","GillNet","Wayari",1,1,"NA","NA",,,,,
"11-03-2018","b63c32bb","GillNet","Wayari",1,1,0.5,3.5,"18:00","20:45",,,
"11-03-2018","NA","GillNet",,1,1,1,5.5,"18:00","20:30",,,
"11-03-2018","NA","GillNet",,1,1,1,5.5,"18:00","20:30",,,
"12-03-2018","eb657d2f","Trawler","Sarjekot","NA",2,3,12,"06:00","15:00",,,
"12-03-2018","eb657d2f","Trawler","Sarjekot","NA",2,3,12,"06:00","15:00",,,
"12-03-2018","eb657d2f","Trawler","Sarjekot","NA",2,3,12,"06:00","15:00",,,
"12-03-2018","eb657d2f","Trawler","Sarjekot","NA",2,3,12,"06:00","15:00",,,
"12-03-2018","eb657d2f","Trawler","Sarjekot","NA",2,3,12,"06:00","15:00",,,
"12-03-2018","eb657d2f","Trawler","Sarjekot","NA",2,3,12,"06:00","15:00",,,
"12-03-2018","eb657d2f","Trawler","Sarjekot","NA",2,3,12,"06:00","15:00",,,
"12-03-2018","270af5cd","GillNet",,1,1,1,11,"17:30","22:00",,,
"12-03-2018","439107ad","GillNet","Wayari",1,1,1,4,"03:00","06:00",,,
"12-03-2018","439107ad","GillNet","Wayari",1,1,1,4,"03:00","06:00",,,
"12-03-2018","0e4eb309","GillNet","Wayari",1,1,0.5,5,"05:00","08:30",,,
"12-03-2018","NA","GillNet","Wayari",1,1,0.5,7,"04:00","08:45",,,
"12-03-2018","a5f43c13","GillNet","Aachara",1,1,0.5,11,"16:30","21:00",,,
"12-03-2018","33d169d3","GillNet","Wayari",1,1,0.5,5,"04:00","08:30",,,
"12-03-2018","dd660e95","GillNet","Wayari",1,1,1,7,"05:00","07:30",,,
"12-03-2018","dd660e95","GillNet",,1,1,1,7,"05:00","07:30",,,
"13-03-2018","cf971186","GillNet","Wayari",1,1,1,5,"03:30","08:00",,,
"13-03-2018","a66ad29c","GillNet","Wayari",1,1,0.75,5,"04:00","08:00",,,
"14-03-2018","36fdfc51","GillNet","Wayari",1,1,1,4,"02:00","07:00",,,
"15-03-2018","9b1a0044","GillNet","Wayari",1,1,0.33,5,"05:00","06:30",,,
"15-03-2018","1900c151","GillNet","Wayari",1,1,0.166666667,3,"05:00","07:30",,,
"15-03-2018","439107ad","GillNet","Wayari",1,1,0.5,3,"04:00","06:00",,,
"16-03-2018","bdeccb3b","GillNet","Wayari",1,1,1,6.5,"03:00","05:00",,,
