"Snake.binomial","Prey.Family","Prey.binomial","Prey.common.name","Prey.count","Location","References"
"Hydrophis curtus","Leiognathidae",,"Slimys, slipmouths, or pony fishes",6,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis schistosus","Leiognathidae",,"Slimys, slipmouths, or pony fishes",3,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Lutjanidae",,"Snappers",3,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Moringuidae",,"Worm or spagettic eels",2,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Mugilidae",,"Mullets",2,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Mullidae",,"Goatfishes",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Mullidae","Upeneus sulphureus","Sulphur goatfish",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Mullidae","Upeneus sundaicus","Ochrebanded goatfish",3,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Nemipteridae",,"Threadfin or Whiptail breams",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Nemipteridae",,"Threadfin or Whiptail breams",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Platycephalidae","Elates ransonnetii","Dwarf flathead",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Platycephalidae",,"Flatheads",3,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Plotosidae",,"Eeltail catfishes",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis schistosus","Plotosidae",,"Eeltail catfishes",21,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Polynemidae",,"Threadfins",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Priacanthidae",,"Bigeyes or catalufas",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Pristigasteridae","Pellona ditchela","Indian pellona",6,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Sciaenidae",,"Drums or croakers",10,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis schistosus","Sciaenidae",,"Drums or croakers",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Scorpaenidae",,"Scorpionsfishes or rockfishes",2,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Siganidae",,"Rabbitfishes",8,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Soleidae",,"Soles",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Sparidae",,"Porgies",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Synodontidae",,"Lizardfishes",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Synodontidae",,"Lizardfishes",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis schistosus","Synodontidae",,"Lizardfishes - Bombay duck",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Terapontidae",,"Grunters or tigerperches",2,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Terapontidae","Terapon puta","Small-scaled terapon",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Terapontidae","Pelates quadrilineatus","Fourlined terapon",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Terapontidae","Terapon theraps","Largescaled terapon",4,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Tetraodontidae","Torquigener whitleyi","Whitley's toadfish",1,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Tetraodontidae",,"Puffers",1,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis schistosus","Tetraodontidae",,"Puffers",11,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
"Hydrophis curtus","Teuthoidea",,"Squids",3,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Trichiuridae","Trichiurus lepturus","Largehead hairtail",2,"Australia","Fry G., Milton D., Wassenberg T. 2001 The reproductive biology and diet of sea snake bycatch of prawn trawling in northern Australia: characteristics important for assessing the impacts on populations. Pacific Conservation Biology 7(1),  55-73."
"Hydrophis curtus","Trichiuridae",,"Cutlassfishes",6,"Malaysia","Voris H.K., Voris H.H. 1983 Feeding Strategies in Marine Snakes - an Analysis of Evolutionary, Morphological, Behavioral and Ecological Relationships. Am Zool 23(2), 411-425."
