"","Date","Boat.Name.Owner","Species","Fishing.Location","Depth.Caught..m.","lon","lat","CPUE","n"
"64","09-03-2018","Shree Krupa","HC","Malvan",20.57,73.3979166666667,16.0630693,0,0
"65","09-03-2018","Shree Kunkeshwar Prasann","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"66","09-03-2018","Taraka","HC","Aachara",16.83,73.3979166666667,16.190837,0,0
"67","09-05-2018","Indrayani","HC","Malvan",10.285,73.4479166666667,16.0630693,0,0
"68","09-05-2018","Lakshmi","HC","Aachara",14.96,73.4020833333333,16.190837,0,0
"69","09-05-2018","Wairy Ubhatwadi Beach Rampan Sangh","HC","Wairy Ubhatwadi Beach",4.675,73.4354166666667,16.0288717,0,0
"70","09-05-2019","Vaisharani","HC","Malvan",11.22,73.44375,16.0630693,0,0
"71","09-11-2018","Suhas Toraskar","HC","Vayangani",4.675,73.4354166666667,16.1759964,0,0
"72","10-02-2019","Mesth Rampan Sangh","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"73","10-03-2018","Prathamesh","HC","Malvan",11.22,73.44375,16.0630693,0,0
"74","10-03-2018","Santosh","HC","Aachara",20.57,73.38125,16.190837,0,0
"75","10-03-2018","Shree Mahalaxmi Prasad","HC","Malvan",10.285,73.4479166666667,16.0630693,0,0
"76","10-03-2019","Devta","HC","Malvan",11.22,73.44375,16.0630693,0,0
"77","10-03-2019","Laxmi Rawalnath","HC","Malvan",13.09,73.4395833333333,16.0630693,0,0
"78","10-03-2019","Somnia","HC","Nivati lighthouse",41.14,73.25625,15.9446644,0.666666666666667,2
"79","10-04-2018","Mauli","HC","Devbaugh",5.61,73.4604166666667,15.9684704,0,0
"80","10-04-2018","Mesth Rampan Sangh","HC","Devbaugh",3.74,73.46875,15.9684704,0,0
"81","10-11-2018","Bhagwati Prasad","HC","Malvan",20.57,73.3979166666667,16.0630693,0,0
"82","10-12-2018","Mesth Rampan Sangh","HC","Malvan",9.35,73.44375,16.0630693,0,0
"83","10-12-2018","Taraka","HC","Malvan",13.09,73.4395833333333,16.0630693,0,0
"84","11-04-2018","Prathamesh","HC","Devbaugh",9.35,73.4520833333333,15.9684704,0,0
"85","11-05-2018","Deepa Lakshmi","HC","Aachara",18.7,73.3895833333333,16.190837,0,0
"86","11-05-2018","Lakshmi","HC","Aachara",18.7,73.3895833333333,16.190837,0,0
"87","11-05-2019","Mesth Rampan Sangh","HC","Malvan",9.35,73.44375,16.0630693,0,0
"88","11-05-2019","Shravani","HC","Kochare",13.09,73.49375,15.9539606,0,0
"89","11-11-2018","Taraka","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"90","11-12-2018","Aai Dirbai","HC","Kavada Rock",7.48,73.4395833333333,16.1012464,0,0
"91","11-12-2018","Bhadrakali","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"92","11-12-2018","Harsh ","HC","Tarkarli",9.35,73.4354166666667,16.0370463,0,0
"93","11-12-2018","Jal Prabha 06","HC","Tarkarli",9.35,73.4354166666667,16.0370463,0,0
"94","12-03-2018","","HC","Malvan",13.09,73.4395833333333,16.0630693,0,0
"95","12-03-2018","Durgadevi","HC","Malvan",9.35,73.44375,16.0630693,0,0
"96","12-03-2018","Gajanth Laxmi","HC","Sarjekot",22.44,73.3770833333333,16.1313787,0,0
"97","12-03-2018","Krushnai 6","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"98","12-03-2018","Samarth Ramdas","HC","Malvan",9.35,73.44375,16.0630693,0,0
"99","12-03-2018","Santosh","HC","Aachara",20.57,73.38125,16.190837,0,0
"100","12-03-2018","Taraka","HC","Malvan",13.09,73.4395833333333,16.0630693,0,0
"101","12-04-2018","Gajanth Laxmi","HC","Aachara",16.83,73.3979166666667,16.190837,0,0
"102","12-05-2019","Bhumikadevi","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"103","12-05-2019","Mesth Rampan Sangh","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"104","12-05-2019","Yashwanti","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"105","12-11-2018","Taraka","HC","Malvan",13.09,73.4395833333333,16.0630693,0,0
"106","12-12-2018","Devki","HC","Malvan",29.92,73.3395833333333,16.0630693,0.666666666666667,1
"107","13-03-2018","Adishakti Rameshwar","HC","Malvan",9.35,73.44375,16.0630693,0,0
"108","13-03-2018","Jal ganga","HC","Malvan",9.35,73.44375,16.0630693,0,0
"109","13-03-2019","Vaishya Rani","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"110","13-11-2018","Mesth Rampan Sangh","HC","Malvan",9.35,73.44375,16.0630693,0,0
"111","13-12-2018","Om Sai","HC","Juva Pankhol",18.7,73.40625,16.1120596,0,0
"112","14-03-2018","Pavnai","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"113","14-11-2018","Mesth Rampan Sangh","HC","Malvan",9.35,73.44375,16.0630693,0,0
"114","14-11-2018","Om Sai","HC","Malvan",22.44,73.3854166666667,16.0630693,2.33333333333333,7
"115","14-12-2018","Herambh","HC","Kavada Rock",16.83,73.4145833333333,16.1012464,0,0
"116","14-12-2018","Sateri","HC","Kavada Rock",16.83,73.4145833333333,16.1012464,0,0
"117","15-02-2019","Kubal","HC","Malvan",9.35,73.44375,16.0630693,0,0
"118","15-02-2019","Laxmi Rawalnath","HC","Malvan",18.7,73.4104166666667,16.0630693,2.22222222222222,1
"119","15-03-2018","Digambar","HC","Malvan",9.35,73.44375,16.0630693,0,0
"120","15-03-2018","Krushnai 6","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"121","15-03-2018","Laxmi Rawalnath","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"122","15-03-2019","Laxmi Rawalnath","HC","Malvan",11.22,73.44375,16.0630693,0,0
"123","15-03-2019","Shree-Morjai Prasanna","HC","Malvan",9.35,73.44375,16.0630693,0,0
"124","15-11-2018","Om Sai","HC","Malvan",22.44,73.3854166666667,16.0630693,0,0
"125","15-12-2018","Bhagwati Prasanna","HC","Devbaugh",23.375,73.4104166666667,15.9684704,0.333333333333333,1
"126","16-03-2018","Bhadrakali","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"127","16-03-2018","Suvarna Pari","HC","Malvan",12.155,73.4395833333333,16.0630693,0,0
"128","16-11-2018","Om Sai","HC","Juva Pankhol",22.44,73.3770833333333,16.1120596,6,15
"129","17-01-2019","Durva Shakti","HC","Malvan",22.44,73.3854166666667,16.0630693,0,0
"130","17-01-2019","Lakshmi","HC","Malvan",28.05,73.3520833333333,16.0630693,2,2
"131","17-03-2018","","HC","Malvan",9.35,73.44375,16.0630693,0,0
"132","17-03-2018","Ganesh Krupa","HC","Malvan",9.35,73.44375,16.0630693,0,0
"133","17-03-2018","Shree Moreshwar","HC","Malvan",9.35,73.44375,16.0630693,0,0
"134","17-11-2018","Chetana FB","HC","Malvan",11.22,73.44375,16.0630693,0,0
"135","17-12-2018","Mesth Rampan Sangh","HC","Malvan",9.35,73.44375,16.0630693,0,0
"136","17-12-2018","Vetoba Prasanna","HC","Devbaugh",5.61,73.4604166666667,15.9684704,0,0
"137","18-02-2019","Laxmi Rawalnath","HC","Tarkarli",18.7,73.4229166666667,16.0370463,0,0
"138","18-10-2018","Wairy Ubhatwadi Beach Rampan Sangh","HC","Malvan",4.675,73.45625,16.0630693,0,0
"139","19-02-2019","Jai Malhar","HC","Tondavali",18.7,73.39375,16.1646075,0,0
"140","19-02-2019","Somnia","HC","Malvan",41.14,73.2520833333333,16.0630693,0.5,2
"141","19-02-2019","Vinzai Prasanna","HC","Juva Pankhol",41.14,73.2479166666667,16.1120596,0.666666666666667,2
"142","19-10-2018","Laxmi Narayan","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"143","20-04-2018","Aai Dirbai","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"144","20-10-2018","Kunal ","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"145","20-10-2018","Shekhar Jadhav ","HC","Malvan",11.22,73.44375,16.0630693,0,0
"146","20-12-2018","Bhairavi Prasad","HC","Devbaugh",9.35,73.4520833333333,15.9684704,0,0
"147","22-03-2018","Om Namashivay 2","HC","Malvan",13.09,73.4395833333333,16.0630693,0,0
"148","23-03-2018","Jalawanti","HC","Malvan",28.05,73.3520833333333,16.0630693,0,0
"149","23-03-2018","Mesth Rampan Sangh","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"150","23-10-2018","Laxmi Rawalnath","HC","Malvan",18.7,73.4104166666667,16.0630693,1.33333333333333,1
"151","23-11-2018","Mesth Rampan Sangh","HC","Malvan",9.35,73.44375,16.0630693,0,0
"152","24-02-2019","Devdarshan","HC","Malvan",18.7,73.4104166666667,16.0630693,1,1
"153","24-11-2018","Om Sai","HC","Akere-Nivati",22.44,73.4104166666667,15.9446644,0,0
"154","24-12-2018","Ganesh Krupa","HC","Talashil",28.05,73.30625,16.100039,1,1
"155","24-12-2018","Lakshmi","HC","Juva Pankhol",29.92,73.3395833333333,16.1120596,1,1
"156","24-12-2018","Mauli","HC","Malvan",29.92,73.3395833333333,16.0630693,0.333333333333333,1
"157","24-12-2018","Shiv Rajani","HC","Malvan",26.18,73.3645833333333,16.0630693,0.4,1
"158","24-12-2018","Sukhkarta","HC","Malvan",31.79,73.3354166666667,16.0630693,3,3
"159","24-12-2018","Vetoba Prasanna","HC","Aachara",31.79,73.2979166666667,16.190837,1,1
"160","25-02-2019","Laxmi Rawalnath","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"161","25-04-2019","Bhadrakali","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"162","25-11-2018","Reshmi 02","HC","Sindhudurg Fort",18.7,73.3354166666667,16.3492193,0,0
"163","25-12-2018","Dirbadevi Krupa","HC","Aachara",29.92,73.31875,16.190837,1,1
"164","25-12-2018","Ganesh Krupa","HC","Malvan",26.18,73.3645833333333,16.0630693,1,1
"165","25-12-2018","Mauli","HC","Malvan",29.92,73.3395833333333,16.0630693,2,2
"166","25-12-2018","Mesth Rampan Sangh","HC","Malvan",9.35,73.44375,16.0630693,0.333333333333333,1
"167","25-12-2018","Sateri","HC","Malvan",28.05,73.3520833333333,16.0630693,1,1
"168","25-12-2018","Vetoba Prasanna","HC","Malvan",28.05,73.3520833333333,16.0630693,1,1
"169","26-02-2019","Laxmi Rawalnath","HC","Tarkarli",7.48,73.46875,16.0370463,0,0
"170","26-04-2019","Somnia","HC","Kavada Rock",35.53,73.2854166666667,16.1012464,0.333333333333333,1
"171","26-04-2019","Sukhkarta","HC","Tarkarli",7.48,73.46875,16.0370463,0,0
"172","26-10-2018","Paavanadevi","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"173","26-11-2018","Mesth Rampan Sangh","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"174","26-11-2018","Narayan","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"175","27-02-2019","Shanta Durga","HC","Tarkarli",18.7,73.4229166666667,16.0370463,0,0
"176","27-04-2019","Prathamesh","HC","Malvan",9.35,73.44375,16.0630693,0,0
"177","27-04-2019","Suyog","HC","Devbaugh",9.35,73.4520833333333,15.9684704,0,0
"178","27-11-2018","Bhavani prasad","HC","Malvan",22.44,73.3854166666667,16.0630693,0,0
"179","27-11-2018","Kalaki","HC","Tarkarli",9.35,73.4354166666667,16.0370463,0,0
"180","27-11-2018","Mesth Rampan Sangh","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"181","28-02-2019","Dhanalaxmi","HC","Juva Pankhol",46.75,73.1770833333333,16.1120596,0.666666666666667,2
"182","28-02-2019","Laxmi Rawalnath","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"183","28-04-2018","Durbankar","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"184","28-04-2019","Raj laxmi","HC","Devbaugh",5.61,73.4604166666667,15.9684704,0,0
"185","28-04-2019","Sateri","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"186","28-04-2019","Shravani","HC","Malvan",9.35,73.44375,16.0630693,0,0
"187","28-04-2019","Swamini","HC","Aachara",14.96,73.4020833333333,16.190837,0,0
"188","28-10-2018","Devikanandan","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"189","28-10-2018","Durgadevi prasanna","HC","Malvan",4.675,73.45625,16.0630693,0,0
"190","28-10-2018","Taraka","HC","Tarkarli",14.96,73.4270833333333,16.0370463,0,0
"191","29-03-2018","Gajanth Laxmi","HC","Malvan",37.4,73.2770833333333,16.0630693,0,0
"192","29-03-2018","Pavnai Devi","HC","Malvan",8.415,73.4479166666667,16.0630693,0,0
"193","29-04-2019","Laxmi Narayan","HC","Malvan",9.35,73.44375,16.0630693,0,0
"194","29-04-2019","Mauli","HC","Malvan",9.35,73.44375,16.0630693,0,0
"195","29-10-2018","Deepa Lakshmi","HC","Kavada Rock",15.895,73.4229166666667,16.1012464,1,1
"196","29-10-2018","Ganesh Krupa","HC","Kavada Rock",14.96,73.4270833333333,16.1012464,0,0
"197","29-11-2018","Bhavani prasad","HC","Malvan",11.22,73.44375,16.0630693,0,0
"198","29-11-2018","Kalika","HC","Malvan",11.22,73.44375,16.0630693,0,0
"199","29-11-2018","Mesth Rampan Sangh","HC","Malvan",7.48,73.4520833333333,16.0630693,0,0
"200","30-04-2019","Dhanlaxmi","HC","Vengurla",24.31,73.46875,15.8514136,0,0
"201","30-04-2019","Mesth Rampan Sangh","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"202","30-04-2019","Taraka","HC","Malvan",9.35,73.44375,16.0630693,0,0
"203","30-10-2018","Sukhkarta","HC","Malvan",15.895,73.43125,16.0630693,0,0
"204","30-10-2018","Taraka","HC","Malvan",8.415,73.4479166666667,16.0630693,0,0
"205","30-11-2018","Laxmi Prassad","HC","Malvan",22.44,73.3854166666667,16.0630693,2,2
"206","30-12-2018","Pandurang Prasad","HC","Malvan",31.79,73.3354166666667,16.0630693,1,1
"207","31-01-2019","Indrayani","HC","Malvan",18.7,73.4104166666667,16.0630693,0,0
"208","31-01-2019","Morjai","HC","Nivati lighthouse",33.66,73.3520833333333,15.9446644,0,0
"209","31-01-2019","Taramati","HC","Devbaugh",37.4,73.30625,15.9684704,0,0
"210","31-03-2018","","HC","Malvan",5.61,73.4520833333333,16.0630693,0,0
"211","31-03-2018","Gajanth Laxmi","HC","Aachara",18.7,73.3895833333333,16.190837,0,0
"212","31-10-2018","Katradevi","HC","Malvan",17.765,73.4270833333333,16.0630693,0,0
"213","31-12-2018","Dirba","HC","Malvan",18.7,73.4104166666667,16.0630693,1,1
"214","31-12-2018","Mesth Rampan Sangh","HC","Malvan",7.48,73.4520833333333,16.0630693,0.285714285714286,1
"215","01-01-2019","Lakshmi","HS","Malvan",28.05,73.3520833333333,16.0630693,0,0
"216","01-01-2019","Laxmi Rawalnath","HS","Malvan",24.31,73.3770833333333,16.0630693,0,0
"217","01-02-2019","Jayashree","HS","Malvan",18.7,73.4104166666667,16.0630693,1,1
"218","01-03-2019","Mesth Rampan Sangh","HS","Malvan",13.09,73.4395833333333,16.0630693,0.333333333333333,1
"219","01-05-2018","Lakshmi Ravalnath 2","HS","Talashil",15.895,73.4229166666667,16.100039,1,1
"220","01-05-2019","Devata","HS","Malvan",9.35,73.44375,16.0630693,0.333333333333333,1
"221","01-05-2019","Mahalaxmi","HS","Juva Pankhol",14.96,73.4229166666667,16.1120596,0.0333333333333333,1
"222","01-11-2018","Sukhkarta","HS","Malvan",18.7,73.4104166666667,16.0630693,0,0
"223","01-12-2018","Somnia","HS","Aachara",22.44,73.36875,16.190837,0,0
"224","01-12-2018","Suhas Toraskar","HS","Vayangani",13.09,73.40625,16.1759964,1,1
"225","02-01-2019","Mesth Rampan Sangh","HS","Malvan",8.415,73.4479166666667,16.0630693,0,0
"226","02-01-2019","Narayani Prasad","HS","Malvan",28.985,73.34375,16.0630693,0,0
"227","02-03-2019","Narayani Prasad","HS","Kavada Rock",33.66,73.2895833333333,16.1012464,0,0
"228","02-04-2018","Jal Prabha 06","HS","Malvan",14.025,73.4354166666667,16.0630693,1,1
"229","02-04-2018","Vaibhav Laxmi","HS","Aachara",22.44,73.36875,16.190837,1,1
"230","02-05-2018","Bhagwati Prasad","HS","Aachara",11.22,73.4145833333333,16.190837,0.5,1
"231","02-05-2018","Lakshmi","HS","Sindhudurg Fort",5.61,73.3479166666667,16.3492193,4.33333333333333,13
"232","02-05-2018","Vighneshwar","HS","Malvan",22.44,73.3854166666667,16.0630693,0.5,1
"233","02-05-2019","","HS","Moryacha Dhonda",14.96,73.4395833333333,16.0434558,1,1
"234","03-02-2019","Kalaki","HS","Talashil",13.09,73.43125,16.100039,4,4
"235","03-04-2018","Gajanth Laxmi","HS","Malvan",18.7,73.4104166666667,16.0630693,1.44444444444444,13
"236","03-04-2019","Bhadrakali","HS","Malvan",31.79,73.3354166666667,16.0630693,1,1
"237","03-04-2019","Laxmi Rawalnath","HS","Tarkarli",7.48,73.46875,16.0370463,4,1
"238","04-01-2019","Laxmi Rawalnath","HS","Malvan",20.57,73.3979166666667,16.0630693,0,0
"239","04-04-2018","Pavnai","HS","Malvan",9.35,73.44375,16.0630693,4,1
"240","04-05-2018","Bhagwati Prasad","HS","Aachara",9.35,73.41875,16.190837,0.5,1
"241","04-05-2018","Ganesh","HS","Kavada Rock",14.96,73.4270833333333,16.1012464,1,1
"242","04-05-2018","Ratnadurga","HS","Talashil",18.7,73.40625,16.100039,0.5,1
"243","04-05-2019","Om Sai","HS","Juva Pankhol",28.05,73.3479166666667,16.1120596,0.444444444444444,4
"244","04-11-2018","Taraka","HS","Malvan",8.415,73.4479166666667,16.0630693,0.5,1
"245","04-11-2018","Yashodha","HS","Sindhudurg Fort",12.155,73.34375,16.3492193,1,1
"246","04-12-2018","Yakshini-devi","HS","Malvan",18.7,73.4104166666667,16.0630693,1.33333333333333,1
"247","05-01-2019","Kalambia","HS","Malvan",13.09,73.4395833333333,16.0630693,0,0
"248","05-01-2019","Narayani Prasad","HS","Malvan",26.18,73.3645833333333,16.0630693,0,0
"249","05-01-2019","Yashodha","HS","Malvan",13.09,73.4395833333333,16.0630693,1,1
"250","05-03-2018","Gajanth Laxmi","HS","Tondavali",11.22,73.4104166666667,16.1646075,1.06666666666667,8
"251","05-04-2018","Mesth Rampan Sangh","HS","Malvan",5.61,73.4520833333333,16.0630693,0.333333333333333,1
"252","05-05-2018","Bhagwati Prasad","HS","Aachara",11.22,73.4145833333333,16.190837,1,1
"253","05-12-2018","Laxmi Rawalnath","HS","Malvan",18.7,73.4104166666667,16.0630693,2,1
"254","06-01-2019","Mesth Rampan Sangh","HS","Malvan",7.48,73.4520833333333,16.0630693,0,0
"255","06-01-2019","Pavnai Devi","HS","Malvan",18.7,73.4104166666667,16.0630693,2,1
"256","06-01-2019","Shree Adishakti","HS","Malvan",13.09,73.4395833333333,16.0630693,0,0
"257","06-02-2019","Lakshmi","HS","Talashil",14.96,73.4270833333333,16.100039,2,2
"258","06-02-2019","Purushottam prasad","HS","Malvan",9.35,73.44375,16.0630693,1,1
"259","06-03-2019","Revta","HS","Malvan",7.48,73.4520833333333,16.0630693,1,1
"260","06-05-2018","Wairy Ubhatwadi Beach Rampan Sangh","HS","Malvan",10.285,73.4479166666667,16.0630693,0.25,1
"261","06-11-2018","Malandkar","HS","Malvan",13.09,73.4395833333333,16.0630693,1,1
"262","07-02-2019","Yashodha","HS","Moryacha Dhonda",9.35,73.4645833333333,16.0434558,1,1
"263","07-03-2018","Gajanth Laxmi","HS","Tondavali",14.96,73.4020833333333,16.1646075,1.33333333333333,8
"264","07-04-2018","Taraka","HS","Talashil",14.96,73.4270833333333,16.100039,1,1
"265","07-05-2019","Durgadevi","HS","Malvan",7.48,73.4520833333333,16.0630693,0.0833333333333333,1
"266","08-05-2018","Indrayani","HS","Sindhudurg Fort",3.74,73.3520833333333,16.3492193,1,1
"267","08-05-2018","Wairy Ubhatwadi Beach Rampan Sangh","HS","Malvan",7.48,73.4520833333333,16.0630693,0.5,2
"268","08-12-2018","Devki","HS","Aachara",16.83,73.3979166666667,16.190837,2,1
"269","09-01-2019","Disba Siddhi","HS","Malvan",29.92,73.3395833333333,16.0630693,0,0
"270","09-01-2019","Heramb","HS","Malvan",28.05,73.3520833333333,16.0630693,0,0
"271","09-01-2019","Lalita","HS","Malvan",28.05,73.3520833333333,16.0630693,0,0
"272","09-01-2019","Laxmi Rawalnath","HS","Malvan",29.92,73.3395833333333,16.0630693,0,0
"273","09-01-2019","Moreshwar Krupa","HS","Malvan",28.05,73.3520833333333,16.0630693,0,0
"274","09-01-2019","Vetoba Prasanna","HS","Malvan",28.05,73.3520833333333,16.0630693,0,0
"275","09-03-2018","Ganesh Krupa","HS","Malvan",20.57,73.3979166666667,16.0630693,2,1
"276","09-03-2018","Ganesh Krupa 20","HS","Malvan",18.7,73.4104166666667,16.0630693,1,1
"277","09-03-2018","Jal Prabha 06","HS","Tarkarli",11.22,73.4479166666667,16.0370463,2.5,5
"278","09-03-2018","Shree Krupa","HS","Malvan",20.57,73.3979166666667,16.0630693,1.33333333333333,1
"279","09-03-2018","Shree Kunkeshwar Prasann","HS","Malvan",18.7,73.4104166666667,16.0630693,0.5,1
"280","09-03-2018","Taraka","HS","Aachara",16.83,73.3979166666667,16.190837,6,6
"281","09-05-2018","Indrayani","HS","Malvan",10.285,73.4479166666667,16.0630693,0.5,1
